 ID,PARAM,Date,Flow
05UE005,1,7/1/1960,3200
05UE005,1,7/2/1960,3260
05UE005,1,7/3/1960,3260
05UE005,1,7/4/1960,3260
05UE005,1,7/5/1960,3260
05UE005,1,7/6/1960,3310
05UE005,1,7/7/1960,3170
05UE005,1,7/8/1960,3740
05UE005,1,7/9/1960,3110
05UE005,1,7/10/1960,3230
05UE005,1,7/11/1960,3310
05UE005,1,7/12/1960,3260
05UE005,1,7/13/1960,3260
05UE005,1,7/14/1960,3260
05UE005,1,7/15/1960,3260
05UE005,1,7/16/1960,3260
05UE005,1,7/17/1960,3260
05UE005,1,7/18/1960,3260
05UE005,1,7/19/1960,3280
05UE005,1,7/20/1960,3280
05UE005,1,7/21/1960,3280
05UE005,1,7/22/1960,3280
05UE005,1,7/23/1960,3280
05UE005,1,7/24/1960,3310
05UE005,1,7/25/1960,3310
05UE005,1,7/26/1960,3280
05UE005,1,7/27/1960,3310
05UE005,1,7/28/1960,3340
05UE005,1,7/29/1960,3430
05UE005,1,7/30/1960,3200
05UE005,1,7/31/1960,3140
05UE005,1,8/1/1960,3140
05UE005,1,8/2/1960,3170
05UE005,1,8/3/1960,3170
05UE005,1,8/4/1960,3170
05UE005,1,8/5/1960,3110
05UE005,1,8/6/1960,3110
05UE005,1,8/7/1960,3110
05UE005,1,8/8/1960,3140
05UE005,1,8/9/1960,3200
05UE005,1,8/10/1960,3200
05UE005,1,8/11/1960,3200
05UE005,1,8/12/1960,3200
05UE005,1,8/13/1960,3200
05UE005,1,8/14/1960,3200
05UE005,1,8/15/1960,3110
05UE005,1,8/16/1960,3030
05UE005,1,8/17/1960,3030
05UE005,1,8/18/1960,3030
05UE005,1,8/19/1960,3030
05UE005,1,8/20/1960,3030
05UE005,1,8/21/1960,3030
05UE005,1,8/22/1960,3030
05UE005,1,8/23/1960,3030
05UE005,1,8/24/1960,3030
05UE005,1,8/25/1960,3030
05UE005,1,8/26/1960,2970
05UE005,1,8/27/1960,2940
05UE005,1,8/28/1960,2920
05UE005,1,8/29/1960,2920
05UE005,1,8/30/1960,2940
05UE005,1,8/31/1960,2940
05UE005,1,9/1/1960,2940
05UE005,1,9/2/1960,2940
05UE005,1,9/3/1960,2940
05UE005,1,9/4/1960,2940
05UE005,1,9/5/1960,2940
05UE005,1,9/6/1960,3030
05UE005,1,9/7/1960,3000
05UE005,1,9/8/1960,2920
05UE005,1,9/9/1960,2860
05UE005,1,9/10/1960,2890
05UE005,1,9/11/1960,2890
05UE005,1,9/12/1960,2920
05UE005,1,9/13/1960,2970
05UE005,1,9/14/1960,2970
05UE005,1,9/15/1960,2970
05UE005,1,9/16/1960,2970
05UE005,1,9/17/1960,2970
05UE005,1,9/18/1960,2970
05UE005,1,9/19/1960,2920
05UE005,1,9/20/1960,2860
05UE005,1,9/21/1960,2690
05UE005,1,9/22/1960,2830
05UE005,1,9/23/1960,2890
05UE005,1,9/24/1960,2860
05UE005,1,9/25/1960,2810
05UE005,1,9/26/1960,2820
05UE005,1,9/27/1960,2860
05UE005,1,9/28/1960,2820
05UE005,1,9/29/1960,2860
05UE005,1,9/30/1960,2860
05UE005,1,10/1/1960,2860
05UE005,1,10/2/1960,2680
05UE005,1,10/3/1960,2150
05UE005,1,10/4/1960,2700
05UE005,1,10/5/1960,2700
05UE005,1,10/6/1960,2740
05UE005,1,10/7/1960,2720
05UE005,1,10/8/1960,2700
05UE005,1,10/9/1960,2680
05UE005,1,10/10/1960,2700
05UE005,1,10/11/1960,2680
05UE005,1,10/12/1960,2680
05UE005,1,10/13/1960,2700
05UE005,1,10/14/1960,2690
05UE005,1,10/15/1960,2690
05UE005,1,10/16/1960,2750
05UE005,1,10/17/1960,2740
05UE005,1,10/18/1960,2720
05UE005,1,10/19/1960,2720
05UE005,1,10/20/1960,2750
05UE005,1,10/21/1960,2760
05UE005,1,10/22/1960,2650
05UE005,1,10/23/1960,2570
05UE005,1,10/24/1960,2550
05UE005,1,10/25/1960,2550
05UE005,1,10/26/1960,2560
05UE005,1,10/27/1960,2550
05UE005,1,10/28/1960,2460
05UE005,1,10/29/1960,2490
05UE005,1,10/30/1960,2440
05UE005,1,10/31/1960,2470
05UE005,1,11/1/1960,2470
05UE005,1,11/2/1960,2460
05UE005,1,11/3/1960,2460
05UE005,1,11/4/1960,2470
05UE005,1,11/5/1960,2400
05UE005,1,11/6/1960,2440
05UE005,1,11/7/1960,2400
05UE005,1,11/8/1960,2180
05UE005,1,11/9/1960,2050
05UE005,1,11/10/1960,1920
05UE005,1,11/11/1960,1930
05UE005,1,11/12/1960,1970
05UE005,1,11/13/1960,2100
05UE005,1,11/14/1960,2080
05UE005,1,11/15/1960,2110
05UE005,1,11/16/1960,2140
05UE005,1,11/17/1960,2080
05UE005,1,11/18/1960,2160
05UE005,1,11/19/1960,2200
05UE005,1,11/20/1960,2230
05UE005,1,11/21/1960,1820
05UE005,1,11/22/1960,1700
05UE005,1,11/23/1960,1470
05UE005,1,11/24/1960,1180
05UE005,1,11/25/1960,1140
05UE005,1,11/26/1960,1150
05UE005,1,11/27/1960,1190
05UE005,1,11/28/1960,1230
05UE005,1,11/29/1960,1270
05UE005,1,11/30/1960,1290
05UE005,1,12/1/1960,1280
05UE005,1,12/2/1960,1280
05UE005,1,12/3/1960,1170
05UE005,1,12/4/1960,1210
05UE005,1,12/5/1960,1220
05UE005,1,12/6/1960,1200
05UE005,1,12/7/1960,1250
05UE005,1,12/8/1960,1250
05UE005,1,12/9/1960,1270
05UE005,1,12/10/1960,1190
05UE005,1,12/11/1960,1240
05UE005,1,12/12/1960,1200
05UE005,1,12/13/1960,1210
05UE005,1,12/14/1960,1400
05UE005,1,12/15/1960,1460
05UE005,1,12/16/1960,1510
05UE005,1,12/17/1960,1550
05UE005,1,12/18/1960,1580
05UE005,1,12/19/1960,1580
05UE005,1,12/20/1960,1630
05UE005,1,12/21/1960,1650
05UE005,1,12/22/1960,1660
05UE005,1,12/23/1960,1680
05UE005,1,12/24/1960,1700
05UE005,1,12/25/1960,1440
05UE005,1,12/26/1960,1740
05UE005,1,12/27/1960,1690
05UE005,1,12/28/1960,1710
05UE005,1,12/29/1960,1680
05UE005,1,12/30/1960,1660
05UE005,1,12/31/1960,1660
05UE005,1,1/1/1961,1610
05UE005,1,1/2/1961,1580
05UE005,1,1/3/1961,1590
05UE005,1,1/4/1961,1570
05UE005,1,1/5/1961,1500
05UE005,1,1/6/1961,1530
05UE005,1,1/7/1961,1550
05UE005,1,1/8/1961,1560
05UE005,1,1/9/1961,1550
05UE005,1,1/10/1961,1570
05UE005,1,1/11/1961,1530
05UE005,1,1/12/1961,1520
05UE005,1,1/13/1961,1560
05UE005,1,1/14/1961,1520
05UE005,1,1/15/1961,1510
05UE005,1,1/16/1961,1560
05UE005,1,1/17/1961,1520
05UE005,1,1/18/1961,1500
05UE005,1,1/19/1961,1490
05UE005,1,1/20/1961,1480
05UE005,1,1/21/1961,1490
05UE005,1,1/22/1961,1500
05UE005,1,1/23/1961,1480
05UE005,1,1/24/1961,1480
05UE005,1,1/25/1961,1510
05UE005,1,1/26/1961,1520
05UE005,1,1/27/1961,1500
05UE005,1,1/28/1961,1520
05UE005,1,1/29/1961,1400
05UE005,1,1/30/1961,1430
05UE005,1,1/31/1961,1490
05UE005,1,2/1/1961,1430
05UE005,1,2/2/1961,1450
05UE005,1,2/3/1961,1410
05UE005,1,2/4/1961,1360
05UE005,1,2/5/1961,1360
05UE005,1,2/6/1961,1410
05UE005,1,2/7/1961,1470
05UE005,1,2/8/1961,1460
05UE005,1,2/9/1961,1500
05UE005,1,2/10/1961,1490
05UE005,1,2/11/1961,1490
05UE005,1,2/12/1961,1510
05UE005,1,2/13/1961,1460
05UE005,1,2/14/1961,1480
05UE005,1,2/15/1961,1480
05UE005,1,2/16/1961,1470
05UE005,1,2/17/1961,1460
05UE005,1,2/18/1961,1470
05UE005,1,2/19/1961,1440
05UE005,1,2/20/1961,1460
05UE005,1,2/21/1961,1470
05UE005,1,2/22/1961,1490
05UE005,1,2/23/1961,1440
05UE005,1,2/24/1961,1370
05UE005,1,2/25/1961,1380
05UE005,1,2/26/1961,1350
05UE005,1,2/27/1961,1370
05UE005,1,2/28/1961,1360
05UE005,1,3/1/1961,1380
05UE005,1,3/2/1961,1360
05UE005,1,3/3/1961,1360
05UE005,1,3/4/1961,1380
05UE005,1,3/5/1961,1410
05UE005,1,3/6/1961,1460
05UE005,1,3/7/1961,1490
05UE005,1,3/8/1961,1420
05UE005,1,3/9/1961,1380
05UE005,1,3/10/1961,1380
05UE005,1,3/11/1961,1400
05UE005,1,3/12/1961,1410
05UE005,1,3/13/1961,1420
05UE005,1,3/14/1961,1400
05UE005,1,3/15/1961,1390
05UE005,1,3/16/1961,1440
05UE005,1,3/17/1961,1410
05UE005,1,3/18/1961,1400
05UE005,1,3/19/1961,1400
05UE005,1,3/20/1961,1390
05UE005,1,3/21/1961,1400
05UE005,1,3/22/1961,1390
05UE005,1,3/23/1961,1360
05UE005,1,3/24/1961,1380
05UE005,1,3/25/1961,1380
05UE005,1,3/26/1961,1400
05UE005,1,3/27/1961,1360
05UE005,1,3/28/1961,1380
05UE005,1,3/29/1961,1360
05UE005,1,3/30/1961,1360
05UE005,1,3/31/1961,1360
05UE005,1,4/1/1961,1380
05UE005,1,4/2/1961,1370
05UE005,1,4/3/1961,1380
05UE005,1,4/4/1961,1370
05UE005,1,4/5/1961,1370
05UE005,1,4/6/1961,1380
05UE005,1,4/7/1961,1370
05UE005,1,4/8/1961,1390
05UE005,1,4/9/1961,1320
05UE005,1,4/10/1961,1260
05UE005,1,4/11/1961,1260
05UE005,1,4/12/1961,1300
05UE005,1,4/13/1961,1290
05UE005,1,4/14/1961,1310
05UE005,1,4/15/1961,1350
05UE005,1,4/16/1961,1340
05UE005,1,4/17/1961,1330
05UE005,1,4/18/1961,1330
05UE005,1,4/19/1961,1310
05UE005,1,4/20/1961,1330
05UE005,1,4/21/1961,1420
05UE005,1,4/22/1961,1490
05UE005,1,4/23/1961,1440
05UE005,1,4/24/1961,1420
05UE005,1,4/25/1961,1440
05UE005,1,4/26/1961,1460
05UE005,1,4/27/1961,1410
05UE005,1,4/28/1961,1450
05UE005,1,4/29/1961,1480
05UE005,1,4/30/1961,1480
05UE005,1,5/1/1961,1530
05UE005,1,5/2/1961,1510
05UE005,1,5/3/1961,1530
05UE005,1,5/4/1961,1620
05UE005,1,5/5/1961,1710
05UE005,1,5/6/1961,1720
05UE005,1,5/7/1961,1740
05UE005,1,5/8/1961,2070
05UE005,1,5/9/1961,1880
05UE005,1,5/10/1961,1920
05UE005,1,5/11/1961,2030
05UE005,1,5/12/1961,2000
05UE005,1,5/13/1961,1940
05UE005,1,5/14/1961,1940
05UE005,1,5/15/1961,1960
05UE005,1,5/16/1961,1910
05UE005,1,5/17/1961,2040
